trade_date,high,low,close,pct_chg
20101022,3408.49,3346.11,3378.66,0.12
20101021,3418.09,3344.96,3374.69,-0.65
20101020,3439.23,3301.01,3396.88,0.63
20101019,3375.87,3280,3375.67,2.1
20101018,3390.02,3288.78,3306.16,-0.65
20101015,3327.68,3199.12,3327.68,3.21
20101014,3286.02,3215.03,3224.14,0.2
20101013,3221.65,3165.58,3217.58,1.41
20101012,3173.85,3106.22,3172.73,1.27
20101011,3154.2,3069.19,3132.9,2.91
20101008,3055.84,2963.24,3044.23,3.7
20100930,2935.6,2857.42,2935.57,2.11
20100929,2908.73,2866.85,2874.81,-0.21
20100928,2900.54,2875.66,2880.91,-0.83
20100927,2905.53,2864.21,2905.03,1.66
20100921,2869.38,2844.13,2857.48,0.27
20100920,2872.22,2829.76,2849.83,-0.4
20100917,2877.08,2847.68,2861.37,0.13
20100916,2917.85,2834.03,2857.79,-1.9
20100915,2965.54,2905.63,2913.19,-1.75
20100914,2984.47,2954.51,2965.01,0.09
20100913,2977.08,2925.42,2962.32,1.01
20100910,2940.79,2890.04,2932.55,0.21
20100909,2986.87,2922.2,2926.46,-1.83
20100908,2982.72,2953.84,2980.97,-0.07
20100907,2991.44,2959.9,2983.11,0.27
20100906,2980.42,2935.89,2975.09,1.88
20100903,2929.55,2891.88,2920.21,-0.04
20100902,2931.55,2903.03,2921.39,1.3
20100901,2931.76,2859.17,2884.04,-0.66
20100831,2910.06,2889.81,2903.19,-0.41
20100830,2921.09,2872.92,2915.01,1.97
20100827,2861.07,2833.42,2858.57,0.3
20100826,2868.88,2836.13,2850.09,0.25
20100825,2904.66,2842.25,2843.02,-2.36
20100824,2933.12,2866.8,2911.83,0.54
20100823,2920.54,2886.66,2896.19,-0.07
20100820,2951.96,2892.64,2898.33,-1.93
20100819,2975.19,2928.01,2955.4,0.61
20100818,2962.75,2924.67,2937.36,-0.17
20100817,2949.73,2917.83,2942.29,0.69
20100816,2927.69,2843.02,2922.08,2.33
20100813,2856.04,2799.22,2855.55,1.39
20100812,2860.37,2810.1,2816.39,-1.19
20100811,2864.36,2823.15,2850.21,0.62
